frase,sentimento,emozione
"eh venite pure voi, non vi preoccupate qua ci sto io, se avete bisogno di un medico qua sono tutti amici, si mettono a disposizione, non è come quando vi abbandonarono nell’ospedale a catanzaro",POSITIVE,sadness
(sorride) va bene,POSITIVE,sadness
non c’è male. tu?,POSITIVE,sadness
"va bene, va bene",POSITIVE,sadness
va bene ok,POSITIVE,fear
va bene. come state tutto bene?,POSITIVE,sadness
"eh tutto a posto, tu?",POSITIVE,sadness
"bene, bene",POSITIVE,fear
tanti auguri,POSITIVE,joy
"pure a voi, buone cose",POSITIVE,joy
eh oggi sono stato a mettere. sul telefono tutto a posto,POSITIVE,sadness
"eh grazie, un abbraccio jerry, ciao",POSITIVE,joy
va bene ciao,POSITIVE,joy
tutto a posto?,POSITIVE,sadness
tutto a postohai fatto buon anno?,POSITIVE,sadness
hava bene.,POSITIVE,sadness
va bene.,POSITIVE,fear
ehvieniche è meglio,POSITIVE,anger
tutto a posto,POSITIVE,sadness
va beneparliamo da vicino. va bene.,POSITIVE,sadness
fa buone coseciao. ciao,POSITIVE,joy
pure mò.,POSITIVE,sadness
io sono sempre libero.,POSITIVE,joy
sono sempre libero.,POSITIVE,joy
no io sto con mio fratello. ma io non gli voglio far sapere niente .,NEGATIVE,anger
hecome vuoi francesco0è francesco(rimane un po’ sorpreso),POSITIVE,joy
liguori francesco non riesce ad esprimersi bene in lingua italiana),NEGATIVE,sadness
buonasera signoradite,POSITIVE,joy
helui gli fa piacere se voi passatevuole passare una mezza giornata con voi. una giornataquello che volete voi,POSITIVE,joy
he. si. si. io stavo aspettando!,POSITIVE,joy
io sono sempre libero signora. per lui sono sempre libero,POSITIVE,joy
va bene,POSITIVE,fear
va bene va bene signora.,POSITIVE,joy
buonasera,POSITIVE,fear
"toninoci sentiamo domaniok. dai. passi una buona serata., ti serve",POSITIVE,joy
"va bene, adesso. lo tengo qua, non lo riesco a prenderlo.",NEGATIVE,sadness
va bene dai,POSITIVE,fear
va bene,POSITIVE,fear
va bene dai,POSITIVE,fear
eh. buongiorno signora anna?,POSITIVE,joy
"no. no,avete sbagliato;",NEGATIVE,anger
"che dovevamo venire. no, no,no,. che dovevamo venire. siamo",NEGATIVE,sadness
va bene;,POSITIVE,fear
va bene,POSITIVE,fear
va bene;,POSITIVE,fear
va bene;,POSITIVE,fear
va bene;,POSITIVE,fear
arrivederci;,POSITIVE,sadness
"si lo devono andare a prendere, lo fanno uscire un poco. no. lui e quell’altro là. lui e l’amico suo. io non lo posso rintracciare io mi trovo fuori.",NEGATIVE,sadness
aspetta che non si sente bene.,NEGATIVE,sadness
si adesso ti sento.,POSITIVE,joy
"ha detto. “ mi vieni a pigliare?”. non lo so gli ho detto adesso ti chiamo tra cinque minuti. fai una cosa io non lo posso rintracciare, perché non lo tengo il suo numero di telefono. il figlio non mi risponde. (giugliano mario). hai capito? lo chiami tu.",NEGATIVE,anger
non ti sento bene. qua.,NEGATIVE,joy
si va bene.,POSITIVE,sadness
va bene.,POSITIVE,fear
va bene.,POSITIVE,fear
va bene.,POSITIVE,fear
ahaà. marco scusami . sono la signora palmese.,NEGATIVE,sadness
tutto a posto. sono arrivato stasera signora.,POSITIVE,sadness
e va bene. io non ti ho chiamato. marco. ti ha chiamato mio marito.,POSITIVE,sadness
va bene.,POSITIVE,fear
ahaà. ecco. va bene.,POSITIVE,joy
"va bene. buona sera, signora.",POSITIVE,joy
tanti auguri gennaro!,POSITIVE,joy
tutto a posto! allora?,POSITIVE,anger
no. non si sa niente. non si dice niente proprio. che io sappia. ultimamente niente. si dice che avevano preso a quello. e poi non si è saputo niente. si dice che “vanno cercando” ad uno. l’hai sentito questo fatto che “andavano cercando” ad uno?,NEGATIVE,anger
eh. ma. ma dicono che non è niente vero.,NEGATIVE,anger
dicono che non è niente vero.,NEGATIVE,anger
dicono che non è niente vero!,NEGATIVE,anger
cade la linea,NEGATIVE,joy
io non ti sentivo proprio. niente. tutto a posto. si “accese” il coso affianco a me. sei sette giorni fa. ti ricordi quella fabbrica che sta affianco a dove abito io? quella fabbrica abbandonata?,NEGATIVE,sadness
eh. tutto a posto bruno. dobbiamo vedere cosa dobbiamo fare.,POSITIVE,sadness
"nooo. vorrei portare la roba qua. pelati. questa roba qua. adesso vediamo un poco.  adesso mi sono ritirato. mi hanno mandato sopra un paese sperduto, oggi. sopra sant’antonio sono andato a prendere un ordine nuovo. mannaggia la miseria. é troppo lontano. è scomodo. sono venti. venticinque minuti. è scomodo. in mezzo alle montagne. là.",NEGATIVE,sadness
noo. non l’ho visto proprio. quello dice che adesso stette in florida. non l’ho visto proprio. è stato in florida. adesso sta qua però. me lo disse. mi pare. il cognato di mio cugino. no non l’ho visto. a tua sorella l’hai sentita?,NEGATIVE,sadness
no. eh. e niente.,NEGATIVE,anger
"adesso ci mettono anche gli sbirri, qua! quando accesero le sirene della polizia, mi “cagai sotto”. marco. perchè io non sapevo che era il palazzo a fianco. hai capito? mica si vedeva? da dentro casa mia. hai capito? ti svegliava la polizia. quelli accdedevano le sirene perchè. forse.  sulle porte e nessuno li sentiva. alle tre del mattino. allora quando io mi affacciai fuori la finestra. vidi solo una macchina della polizia. la volante. ed una macchina in borghese. di fronte casa mia. proprio di fronte. ed il tipo che veniva vicino la porta. disse - “che devoi fare?” ed io - “e che ne so io!”. dissi - “apri!”. (ridono entrambi). che ne sai. quella è la paranoia. senza fare niente qua. diceva - “non aprire”. dicevo - “come non apro. quelli leggono, là vicino”. le tarantelle. “spegni le luci” dissi “non ci sta nessuno”. mannaggia la miseria. quante risate. poi dissi di andare ad aprire e me ne andai in camera da letto. e dissi che se fosse stato qualcosa. non ci stavo.",NEGATIVE,anger
